word,lists,seen_tokens,seen_articles,last_seen
civilian,NGSL,0,0,
civilization,NAWL,0,0,
claim,NGSL,0,0,
clarify,NAWL,0,0,
class,NGSL;Spoken,0,0,
classic,NGSL,0,0,
classical,NGSL,0,0,
classification,NAWL,0,0,
classify,NAWL,0,0,
classroom,NAWL,0,0,
clause,NGSL,0,0,
clay,NAWL,0,0,
clean,NGSL;Spoken,0,0,
clear,NGSL;Spoken,1,1,2025-11-09T08:55:46+00:00
clearly,NGSL,0,0,
clever,NAWL,0,0,
click,NGSL,0,0,
client,NAWL,0,0,
climate,NGSL,0,0,
climb,NGSL,0,0,
clinic,NAWL,0,0,
clinical,NGSL,0,0,
clip,NAWL,0,0,
clock,NGSL;Spoken,0,0,
clone,NAWL,0,0,
close,NGSL;Spoken,0,0,
closely,NGSL,0,0,
closure,NAWL,0,0,
clothes,NGSL,0,0,
clothing,NGSL,0,0,
cloud,NGSL,0,0,
club,NGSL,0,0,
clue,NAWL,0,0,
cluster,NGSL,0,0,
coach,NGSL,0,0,
coal,NGSL,0,0,
coast,NGSL,0,0,
coat,NGSL,0,0,
code,NGSL,0,0,
coefficient,NAWL,0,0,
coffee,NGSL,0,0,
cognitive,NAWL,0,0,
coherent,NAWL,0,0,
coin,NGSL,0,0,
cold,NGSL;Spoken,0,0,
collapse,NGSL,0,0,
colleague,NGSL,0,0,
collect,NGSL,0,0,
collection,NGSL,0,0,
collective,NAWL,0,0,
college,NGSL;Spoken,0,0,
colonial,NAWL,0,0,
colony,NAWL,0,0,
color,NGSL;Spoken,0,0,
column,NGSL,0,0,
combination,NGSL,0,0,
combine,NGSL,0,0,
come,NGSL;Spoken,0,0,
comedy,NGSL,0,0,
comfort,NGSL,0,0,
comfortable,NGSL,0,0,
comma,NAWL,0,0,
command,NGSL,0,0,
comment,NGSL;Spoken,0,0,
commentary,NAWL,0,0,
commercial,NGSL,0,0,
commission,NGSL,0,0,
commit,NGSL,0,0,
commitment,NGSL,0,0,
committee,NGSL;Spoken,0,0,
commodity,NAWL,0,0,
common,NGSL,0,0,
commonly,NAWL,0,0,
communicate,NGSL,0,0,
communication,NGSL,0,0,
communicative,NAWL,0,0,
communist,NAWL,0,0,
community,NGSL;Spoken,0,0,
compact,NAWL,0,0,
company,NGSL;Spoken,1,1,2025-11-09T08:55:46+00:00
comparable,NAWL,0,0,
comparative,NAWL,0,0,
compare,NGSL,0,0,
comparison,NGSL,0,0,
compensate,NAWL,0,0,
compensation,NGSL,0,0,
compete,NGSL,0,0,
competence,NAWL,0,0,
competent,NAWL,0,0,
competition,NGSL,0,0,
